"","State","Brewery_id","Beer_ID","Style","Ounces","City","IBU","ABV","Beer_Name","Brewery_Name"
"620"," FL",448,1242,"American IPA",12,"Gainesville",50,7.3,"Big Nose","Swamp Head Brewery"
"621"," FL",142,570,"Munich Helles Lager",12,"Tampa",55,5,"Hotter Than Helles Lager","Cigar City Brewing Company"
"622"," FL",142,571,"American Brown Ale",12,"Tampa",25,5.5,"Maduro Brown Ale","Cigar City Brewing Company"
"623"," FL",222,2095,"American Amber / Red Ale",12,"Odessa",38,5.8,"Wavemaker","Big Storm Brewing Company"
"624"," FL",394,1325,"American Blonde Ale",12,"Miami",16,5.3,"Big Rod Coconut Ale","Miami Brewing Company"
"625"," FL",394,1508,"Fruit / Vegetable Beer",12,"Miami",11,5.3,"Shark Bait","Miami Brewing Company"
"626"," FL",448,1241,"Witbier",12,"Gainesville",10,5,"Cotton Mouth","Swamp Head Brewery"
"627"," FL",309,1802,"Fruit / Vegetable Beer",12,"Tampa",55,5,"You're My Boy, Blue","Brew Bus Brewing"
"628"," FL",379,1569,"American IPA",12,"Jacksonville",55,6.5,"Mad Manatee IPA","Bold City Brewery"
"629"," FL",394,1507,"American Brown Ale",12,"Miami",30,5.3,"Gator Tail Brown Ale","Miami Brewing Company"
"630"," FL",491,544,"American IPA",16,"Tampa",80,7,"Old Elephant Foot IPA","Tampa Bay Brewing Company"
"631"," GA",248,2028,"Berliner Weissbier",12,"Athens",55,4.5,"Athena","Creature Comforts"
"632"," GA",470,1082,"American Pale Ale (APA)",12,"Athens",42,4.7,"RecreationAle","Terrapin Brewing Company"
"633"," GA",217,2113,"Saison / Farmhouse Ale",12,"Atlanta",55,6.5,"Lyric Ale","Orpheus Brewing"
"634"," GA",50,1710,"American IPA",12,"Atlanta",55,6.4,"SweetWater IPA","SweetWater Brewing Company"
"635"," GA",217,2112,"Saison / Farmhouse Ale",12,"Atlanta",55,5.3,"Atalanta","Orpheus Brewing"
"636"," GA",401,1475,"American Pale Ale (APA)",12,"Macon",55,5,"Macon Progress Ale","Macon Beer Company"
"637"," GA",416,1406,"American Brown Ale",12,"Savannah",55,6.2,"Savannah Brown Ale","Coastal Empire Beer Company"
"638"," GA",476,715,"Czech Pilsener",12,"Marietta",55,4.9,"Long Day Lager","Red Hare Brewing Company"
"639"," GA",401,1008,"American Brown Ale",12,"Macon",55,5.5,"Macon History Ale","Macon Beer Company"
"640"," GA",416,1407,"American Blonde Ale",12,"Savannah",17,4.7,"Tybee Island Blonde","Coastal Empire Beer Company"
"641"," GA",476,1021,"American Brown Ale",12,"Marietta",55,7.2,"Watership Brown Ale","Red Hare Brewing Company"
"642"," GA",476,938,"American IPA",12,"Marietta",55,6.2,"Gangway IPA","Red Hare Brewing Company"
"643"," GA",248,2029,"American IPA",12,"Athens",65,6.5,"Tropicalia","Creature Comforts"
"644"," GA",50,1709,"American Pale Ale (APA)",12,"Atlanta",55,5.4,"420 Extra Pale Ale","SweetWater Brewing Company"
"645"," GA",50,2551,"Hefeweizen",12,"Atlanta",55,5.7,"Waterkeeper","SweetWater Brewing Company"
"646"," GA",50,2568,"German Pilsener",12,"Atlanta",35,5.5,"Take Two Pils","SweetWater Brewing Company"
"647"," HI",376,713,"Belgian Strong Dark Ale",12,"Lahaina",22.5,7,"Aloha B’ak’tun","Maui Brewing Company"
"648"," HI",440,1070,"American Amber / Red Lager",12,"Kona",18,4.6,"Longboard Island Lager","Kona Brewing Company"
"649"," HI",204,2177,"American Amber / Red Ale",12,"Hilo",23,5.2,"Volcano Red Ale","Mehana Brewing Co."
"650"," HI",205,2181,"American Brown Ale",19.2,"Hilo",22.5,6.4,"Hapa Brown Ale","Hawai'i Nui Brewing Co."
"651"," HI",205,2179,"Flanders Red Ale",19.2,"Hilo",22.5,8.3,"Southern Cross","Hawai'i Nui Brewing Co."
"652"," HI",205,2180,"American Brown Ale",12,"Hilo",22.5,6.4,"Hapa Brown Ale","Hawai'i Nui Brewing Co."
"653"," HI",440,1220,"American Amber / Red Lager",16,"Kona",18,4.6,"Longboard Island Lager","Kona Brewing Company"
"654"," HI",204,2184,"American Blonde Ale",12,"Hilo",22,4.2,"Humpback Blonde Ale","Mehana Brewing Co."
"655"," HI",376,1271,"Saison / Farmhouse Ale",12,"Lahaina",22.5,5,"Lemongrass Saison","Maui Brewing Company"
"656"," HI",376,1578,"American Brown Ale",12,"Lahaina",20,5.1,"Lahaina Town Brown","Maui Brewing Company"
"657"," HI",376,1429,"Czech Pilsener",12,"Lahaina",22.5,5.5,"Pau Hana Pilsner","Maui Brewing Company"
"658"," HI",376,31,"American IPA",12,"Lahaina",65,6.2,"Big Swell IPA","Maui Brewing Company"
"659"," HI",204,2178,"American Porter",12,"Hilo",27,5.2,"Hawaiian Crow Porter","Mehana Brewing Co."
"660"," HI",440,1274,"American Amber / Red Lager",24,"Kona",18,4.6,"Longboard Island Lager","Kona Brewing Company"
"661"," HI",376,690,"American Amber / Red Ale",12,"Lahaina",24,6,"Sobrehumano Palena'ole","Maui Brewing Company"
"662"," HI",205,2182,"American Pale Ale (APA)",12,"Hilo",22.5,5.4,"Sunset Amber","Hawai'i Nui Brewing Co."
"663"," HI",205,2183,"American Blonde Ale",12,"Hilo",22.5,4.9,"Kaua'i Golden Ale","Hawai'i Nui Brewing Co."
"664"," HI",376,32,"American Porter",12,"Lahaina",30,5.7,"CoCoNut Porter","Maui Brewing Company"
"665"," HI",376,33,"Munich Helles Lager",12,"Lahaina",18,4.5,"Bikini Blonde Lager","Maui Brewing Company"
"666"," HI",376,712,"Fruit / Vegetable Beer",12,"Lahaina",22.5,8.2,"Liquid Breadfruit","Maui Brewing Company"
"667"," HI",376,547,"Witbier",12,"Lahaina",12,5,"La Perouse White","Maui Brewing Company"
"668"," HI",204,2185,"American IPA",12,"Hilo",75,7.2,"Tsunami IPA","Mehana Brewing Co."
"669"," HI",204,2176,"American Pale Ale (APA)",12,"Hilo",42,5.4,"Mauna Kea Pale Ale","Mehana Brewing Co."
"670"," HI",376,435,"American IPA",12,"Lahaina",68,6.8,"Flyin' HI.P.Hay","Maui Brewing Company"
"671"," HI",376,313,"American Pale Wheat Ale",12,"Lahaina",15,5.5,"Mana Wheat","Maui Brewing Company"
"672"," HI",440,590,"American Amber / Red Lager",12,"Kona",18,4.6,"Longboard Island Lager","Kona Brewing Company"
"673"," HI",204,2186,"American IPA",19.2,"Hilo",75,7.2,"Tsunami IPA","Mehana Brewing Co."
"674"," IA",366,863,"American Pale Ale (APA)",16,"Davenport",48,5.3,"483 Pale Ale","Great River Brewery"
"675"," IA",366,1275,"American Blonde Ale",12,"Davenport",26,4.8,"Dirty Blonde Chocolate Ale","Great River Brewery"
"676"," IA",483,969,"German Pilsener",16,"Des Moines",22,4.8,"Capital Gold Golden Lager","Confluence Brewing Company"
"677"," IA",366,1028,"Vienna Lager",16,"Davenport",26,6,"Aaah Bock Lager","Great River Brewery"
"678"," IA",366,864,"Irish Red Ale",16,"Davenport",30,5.4,"Roller Dam Red Ale","Great River Brewery"
"679"," IA",366,1064,"Irish Red Ale",16,"Davenport",30,5,"Owney Irish Style Red Ale","Great River Brewery"
"680"," IA",366,1446,"American Blonde Ale",12,"Davenport",26,4.8,"Great River Golden Ale","Great River Brewery"
"681"," IA",366,189,"Irish Red Ale",16,"Davenport",30,5.4,"Roller Dam Red Ale (2010)","Great River Brewery"
"682"," IA",366,1244,"Vienna Lager",12,"Davenport",20,4.8,"Dos Pistolas","Great River Brewery"
"683"," IA",483,970,"American IPA",16,"Des Moines",75,6.8,"Des Moines IPA","Confluence Brewing Company"
"684"," IA",472,600,"Rye Beer",16,"Spirit Lake",23,5,"Boji Beach Golden Rye Ale","Okoboji Brewing Company"
"685"," IA",366,1574,"American Brown Ale",16,"Davenport",22,7,"Barrel Aged Farmer","Great River Brewery"
"686"," IA",469,1087,"Kölsch",12,"Knoxville",26,5,"Side Kick Kölsch","Peace Tree Brewing Company"
"687"," IA",366,672,"Rye Beer",16,"Davenport",99,9,"Hop A Potamus Double Dark Rye Pale Ale","Great River Brewery"
"688"," IA",483,968,"American Blonde Ale",16,"Des Moines",21,5.6,"Farmer John's Multi-Grain Ale","Confluence Brewing Company"
"689"," IA",209,2163,"American IPA",12,"Kalona",26,7.1,"Sucha Much IPA","Kalona Brewing Company"
"690"," IA",366,539,"Märzen / Oktoberfest",16,"Davenport",25,5.9,"Oktoberfest","Great River Brewery"
"691"," IA",366,190,"American Pale Ale (APA)",16,"Davenport",48,5.3,"483 Pale Ale (2010)","Great River Brewery"
"692"," IA",366,517,"American Amber / Red Ale",16,"Davenport",25,4.8,"40th Annual Bix Street Fest Copper Ale (Current)","Great River Brewery"
"693"," IA",472,601,"American Stout",16,"Spirit Lake",26,5.7,"Winter Games Select #32 Stout","Okoboji Brewing Company"
"694"," IA",366,1604,"Fruit / Vegetable Beer",12,"Davenport",5,5,"Chickawawa Lemonale","Great River Brewery"
"695"," IA",366,865,"Witbier",16,"Davenport",10,5.5,"Widespread Wit","Great River Brewery"
"696"," IA",366,371,"American Stout",16,"Davenport",36,6,"Redband Stout","Great River Brewery"
"697"," IA",366,655,"American Brown Ale",16,"Davenport",22,7,"Farmer Brown Ale","Great River Brewery"
"698"," IA",472,1059,"Scottish Ale",16,"Spirit Lake",19,9.5,"The Hole in Hadrian's Wall","Okoboji Brewing Company"
"699"," IA",472,603,"Saison / Farmhouse Ale",16,"Spirit Lake",29,6,"Midwest Charm Farmhouse Ale","Okoboji Brewing Company"
"700"," IA",366,540,"American IPA",16,"Davenport",70,7,"Big Cock IPA","Great River Brewery"
"701"," IA",472,602,"American Pale Ale (APA)",16,"Spirit Lake",45,5,"Boji Blue Pale Ale","Okoboji Brewing Company"
"702"," IA",209,2162,"Doppelbock",12,"Kalona",24,7.5,"Lewbricator Wheat Dopplebock ","Kalona Brewing Company"
"703"," IA",472,1058,"American Brown Ale",16,"Spirit Lake",26,6.5,"33 Select Brown Ale","Okoboji Brewing Company"
"704"," ID",310,1160,"American Barleywine",12,"Boise",100,9.9,"Old Devil's Tooth","Sockeye Brewing Company"
"705"," ID",310,1298,"Witbier",16,"Boise",39,5,"Sockeye Belgian Style Summer Ale","Sockeye Brewing Company"
"706"," ID",308,890,"American Pale Ale (APA)",12,"Garden City",35,4.8,"Payette Pale Ale","Payette Brewing Company"
"707"," ID",310,1181,"Maibock / Helles Bock",12,"Boise",39,6.4,"Sockeye Maibock","Sockeye Brewing Company"
"708"," ID",310,879,"American IPA",12,"Boise",100,6.3,"Dagger Falls IPA","Sockeye Brewing Company"
"709"," ID",310,995,"American Strong Ale",16,"Boise",90,8.4,"Winterfest","Sockeye Brewing Company"
"710"," ID",310,1152,"American Blonde Ale",12,"Boise",39,4.3,"Galena Golden","Sockeye Brewing Company"
"711"," ID",219,2108,"Cream Ale",12,"Ponderay",12,5,"Laughing Dog Cream Ale","Laughing Dog Brewing Company"
"712"," ID",310,1425,"American Double / Imperial Stout",12,"Boise",39,9.9,"Barrel Aged Seven Devils Imperial Stout","Sockeye Brewing Company"
"713"," ID",310,1424,"Saison / Farmhouse Ale",16,"Boise",39,5.5,"Boise Co-Op Two Score Ale","Sockeye Brewing Company"
"714"," ID",308,775,"American Brown Ale",12,"Garden City",25,5.5,"Mutton Buster","Payette Brewing Company"
"715"," ID",308,1048,"American IPA",12,"Garden City",65,6.2,"Outlaw IPA","Payette Brewing Company"
"716"," ID",310,1076,"American Porter",12,"Boise",39,5.7,"Power House Porter","Sockeye Brewing Company"
"717"," ID",170,1105,"American Porter",12,"Garden City",39,5.5,"3 Picket Porter","Crooked Fence Brewing Company"
"718"," ID",310,1447,"American Double / Imperial IPA",12,"Boise",39,7.9,"Hopnoxious Imperial IPA","Sockeye Brewing Company"
"719"," ID",308,1043,"American Pale Lager",12,"Garden City",39,4.4,"North Fork Lager","Payette Brewing Company"
"720"," ID",310,1482,"Märzen / Oktoberfest",16,"Boise",39,6,"Socktoberfest","Sockeye Brewing Company"
"721"," ID",310,1596,"American IPA",12,"Boise",100,6.3,"Dagger Falls IPA","Sockeye Brewing Company"
"722"," ID",219,1396,"American IPA",12,"Ponderay",66,6.4,"Laughing Dog IPA","Laughing Dog Brewing Company"
"723"," ID",310,1150,"American Pale Wheat Ale",12,"Boise",12,4.6,"Woolybugger Wheat","Sockeye Brewing Company"
"724"," ID",314,1792,"American Amber / Red Ale",12,"Meridian",39,5.8,"Iron Butt Red Ale","Slanted Rock Brewing Company"
"725"," ID",170,1104,"American Pale Ale (APA)",12,"Garden City",39,5.6,"Rusty Nail Pale Ale","Crooked Fence Brewing Company"
"726"," ID",310,1798,"Kölsch",12,"Boise",39,5,"Thanksgiving Ale","Sockeye Brewing Company"
"727"," ID",314,1609,"American IPA",12,"Meridian",92,7.1,"Initial Point India Pale Ale","Slanted Rock Brewing Company"
"728"," ID",219,1397,"American Pilsner",12,"Ponderay",9,4.8,"Two-One Niner","Laughing Dog Brewing Company"
"729"," ID",308,1805,"American Pale Ale (APA)",12,"Garden City",35,4.2,"Rodeo Rye Pale Ale","Payette Brewing Company"
"730"," ID",310,1595,"American IPA",12,"Boise",100,6.3,"Dagger Falls IPA","Sockeye Brewing Company"
"731"," ID",310,1151,"American Pale Ale (APA)",12,"Boise",32,5.2,"Hell-Diver Pale Ale","Sockeye Brewing Company"
"732"," ID",310,1655,"American Double / Imperial IPA",12,"Boise",39,9.2,"Double Dagger Imperial IPA","Sockeye Brewing Company"
"733"," ID",170,2293,"American Blonde Ale",12,"Garden City",25,4.9,"Aviator Raspberry Blonde","Crooked Fence Brewing Company"
"734"," IL",362,366,"Oatmeal Stout",12,"Lake Barrington",23,6,"Jack Stout","Wild Onion Brewing Company"
"735"," IL",45,415,"American IPA",12,"Chicago",70,6.5,"Anti-Hero IPA","Revolution Brewing Company"
"736"," IL",362,398,"Witbier",12,"Lake Barrington",13,4.2,"Wild Onion Summer Wit","Wild Onion Brewing Company"
"737"," IL",362,334,"Pumpkin Ale",12,"Lake Barrington",30,4.5,"Wild Onion Pumpkin Ale (2010)","Wild Onion Brewing Company"
"738"," IL",58,2505,"Abbey Single Ale",12,"Bloomington",22,4.9,"Abbey's Single (2015- )","Destihl Brewery"
"739"," IL",75,2497,"American IPA",16,"Warrenville",69,6.3,"Wobble","Two Brothers Brewing Company"
"740"," IL",362,1364,"American Brown Ale",12,"Lake Barrington",30,5,"Big Bowl Blonde Ale","Wild Onion Brewing Company"
"741"," IL",58,2550,"Hefeweizen",12,"Bloomington",16,5.2,"Weissenheimer","Destihl Brewery"
"742"," IL",45,414,"Witbier",12,"Chicago",14,5,"Bottom Up Belgian Wit","Revolution Brewing Company"
"743"," IL",58,1887,"Abbey Single Ale",12,"Bloomington",22,4.9,"Abbey's Single Ale (Current)","Destihl Brewery"
"744"," IL",65,2537,"Belgian IPA",24,"Chicago",30,8.5,"Monkey Dancing On A Razor Blade","SlapShot Brewing Company"
"745"," IL",328,1066,"American Pale Wheat Ale",16,"Chicago",30,5.5,"Akari Shogun American Wheat Ale","Half Acre Beer Company"
"746"," IL",55,2554,"American Pale Ale (APA)",16,"Lombard",30,5.5,"Moped Traveler","Flesk Brewing Company"
"747"," IL",53,2559,"American Amber / Red Ale",16,"Chicago",30,6.5,"Blood of the Unicorn","Pipeworks Brewing Company"
"748"," IL",58,1888,"American Double / Imperial IPA",12,"Bloomington",85,9.6,"Hoperation Overload","Destihl Brewery"
"749"," IL",66,2531,"Saison / Farmhouse Ale",24,"Chicago",30,6.5,"En Parfaite Harmonie","Mikerphone Brewing"
"750"," IL",56,2553,"American Pale Ale (APA)",12,"Lemont",45,5.4,"Mazzie","Pollyanna Brewing Company"
"751"," IL",45,417,"Märzen / Oktoberfest",12,"Chicago",25,5.7,"Oktoberfest Revolution","Revolution Brewing Company"
"752"," IL",66,2530,"Berliner Weissbier",24,"Chicago",8,4.3,"Daft Funk","Mikerphone Brewing"
"753"," IL",57,2552,"American Pale Ale (APA)",12,"Lyons",30,4.5,"Painted Turtle","BuckleDown Brewing"
"754"," IL",66,2532,"Belgian IPA",24,"Chicago",30,7.5,"One-Hit Wonderful","Mikerphone Brewing"
"755"," IL",45,416,"American Porter",12,"Chicago",28,6.8,"Eugene Porter","Revolution Brewing Company"
"756"," IL",197,2198,"American IPA",12,"Chicago",55,5.9,"Goose Island India Pale Ale","Goose Island Brewery Company"
"757"," IL",328,148,"American Pale Ale (APA)",16,"Chicago",30,5.2,"Daisy Cutter Pale Ale","Half Acre Beer Company"
"758"," IL",58,2021,"Gose",12,"Bloomington",12,5,"Here Gose Nothin'","Destihl Brewery"
"759"," IL",66,2535,"American Double / Imperial IPA",24,"Chicago",30,8.3,"Vinyl Frontier","Mikerphone Brewing"
"760"," IL",362,162,"American Pale Ale (APA)",12,"Lake Barrington",41,5.6,"Paddy Pale Ale","Wild Onion Brewing Company"
"761"," IL",45,2576,"American Pale Ale (APA)",12,"Chicago",40,5.5,"Fist City","Revolution Brewing Company"
"762"," IL",176,2135,"American Double / Imperial IPA",16,"Chicago",30,7.9,"Working for the Weekend","Spiteful Brewing Company"
